wavelength,[uW/cm2/nm]
628,0.38361039999999996
629,0.3868322
630,0.39005399999999996
631,0.3932758
632,0.3964976
633,0.3997194
634,0.40294119999999994
635,0.406163
636,0.40938480000000005
637,0.41260659999999993
638,0.4158284
639,0.41905020000000004
640,0.422272
641,0.42549380000000003
642,0.4287156
643,0.43193739999999997
644,0.4351592
645,0.438381
646,0.4416028
647,0.4448246
648,0.44804640000000007
649,0.4512682
650,0.45454515588987116
651,0.45842779999999994
652,0.4623656
653,0.4663034
654,0.4702412
655,0.474179
656,0.4781168
657,0.4820546
658,0.48599240000000005
659,0.48993020000000004
660,0.4938679999999999
661,0.4978058000000001
662,0.5017436000000001
663,0.5056814
664,0.5096192
665,0.5135569999999999
666,0.5174947999999999
667,0.5214326
668,0.5253704
669,0.5293082
670,0.533246
671,0.5371838
672,0.5411216
673,0.5450594
674,0.5489972
675,0.552935
676,0.5568728
677,0.5608105999999999
678,0.5647483999999999
679,0.5686862
680,0.572624
681,0.5765618
682,0.5804995999999999
683,0.5844374000000001
684,0.5883752
685,0.592313
686,0.5962508
687,0.6001886
688,0.6041264000000001
689,0.6080641999999999
690,0.6120019999999999
691,0.6159398
692,0.6198775999999999
693,0.6238154
694,0.6277532
695,0.6316909999999999
696,0.6356287999999999
697,0.6395666
698,0.6435044000000001
699,0.6474422
700,0.6515569910265281
701,0.6574163999999999
702,0.6634528
703,0.6694892
704,0.6755256
705,0.681562
706,0.6875983999999999
707,0.6936348
708,0.6996711999999999
709,0.7057075999999999
710,0.7117440000000002
711,0.7177804
712,0.7238168
713,0.7298532
714,0.7358895999999999
715,0.741926
716,0.7479624
717,0.7539988000000001
718,0.7600351999999999
719,0.7660716
720,0.772108
721,0.7781444000000001
722,0.7841808000000001
723,0.7902172
724,0.7962536
725,0.8022900000000001
726,0.8083264
727,0.8143628
728,0.8203992
729,0.8264356
730,0.8324720000000001
731,0.8385084
732,0.8445448000000001
733,0.8505811999999998
734,0.8566176000000002
735,0.862654
736,0.8686904
737,0.8747268
738,0.8807632
739,0.8867995999999999
740,0.8928360000000001
741,0.8988724
742,0.9049088000000001
743,0.9109452
744,0.9169816000000002
745,0.923018
746,0.9290544000000001
747,0.9350908000000001
748,0.9411272
749,0.9471636
750,0.9533005677851589
751,0.960804
752,0.968408
753,0.9760120000000001
754,0.983616
755,0.99122
756,0.998824
757,1.006428
758,1.014032
759,1.021636
760,1.0292400000000002
761,1.036844
762,1.044448
763,1.052052
764,1.0596560000000002
765,1.0672599999999999
766,1.074864
767,1.082468
768,1.090072
769,1.0976759999999999
770,1.10528
771,1.112884
772,1.1204880000000002
773,1.1280919999999999
774,1.1356959999999998
775,1.1432999999999998
776,1.150904
777,1.158508
778,1.166112
779,1.173716
780,1.1813200000000001
