Wavelength,Counts
513.8265694,3796.50597363169
514.1900842,3806.287168529377
514.5535601,3836.7374804353444
514.9169969,3848.924334804262
515.2803947,3857.0877043027913
515.6437534,3912.7780172744942
516.007073,3924.473096027529
516.3703535,3927.511540962236
516.7335949,3927.6702340510883
517.0967972,3942.7380258859102
517.4599603,3911.398968623067
517.8230843,3943.0871985902227
518.1861692,3959.571561175204
518.5492148,3996.8573579620006
518.9122213,4033.308985732144
519.2751885,4064.9689426563687
519.6381165,4086.8606640208964
520.0010052,4118.342894079962
520.3638547,4145.9667846841
520.7266649,4144.050491727926
521.0894359,4161.14337054391
521.4521675,4185.242630127692
521.8148598,4205.025299250725
522.1775127,4214.604022706663
522.5401264,4246.691462235813
522.9027006,4266.79104736261
523.2652355,4269.6597591897025
523.627731,4280.8199617505
523.990187,4313.489310711334
524.3526037,4344.876485275947
524.7149809,4370.689676684302
525.0773186,4405.420402742383
525.4396169,4423.741778253405
525.8018757,4431.218812569036
526.164095,4427.394488128876
526.5262747,4434.392744558228
526.888415,4440.119275094877
527.2505157,4473.529390431737
527.6125768,4498.187867514473
527.9745984,4534.61040898938
528.3365803,4575.634509185125
528.6985227,4614.417875497958
529.0604254,4613.625095488165
529.4222885,4638.4079005003
529.784112,4669.0646754184445
530.1458958,4678.430052088758
530.5076399,4705.246951183035
530.8693443,4745.569066644082
531.231009,4766.668289007967
531.592634,4775.236228905101
531.9542192,4818.84303929405
532.3157647,4841.806098933078
532.6772704,4877.157843097242
533.0387363,4917.2415815661425
533.4001624,4949.886266137066
533.7615487,4979.958449619623
534.1228952,5015.895160136342
534.4842018,5052.279202008816
534.8454685,5094.013406568754
535.2066954,5151.24710832209
535.5678824,5191.219973247402
535.9290295,5225.653842668529
536.2901367,5270.806180601841
536.6512039,5307.2604408208035
537.0122312,5358.672508973081
537.3732185,5419.824267320313
537.7341658,5482.552121825031
538.0950731,5544.281379731014
538.4559404,5625.946964797522
538.8167677,5698.43590426406
539.177555,5771.808409831068
539.5383022,5847.525378804761
539.8990093,5935.099387637603
540.2596763,6060.238953491944
540.6203032,6204.198879768899
540.98089,6421.352640308427
541.3414367,6667.964660089184
541.7019432,6925.905521102928
542.0624096,7133.967390659834
542.4228358,7325.530319209949
542.7832218,7458.193232881074
543.1435676,7585.110175021875
543.5038731,7684.845519119425
543.8641385,7948.717191394619
544.2243636,9619.997947758025
544.5845484,16119.761011286982
544.9446929,25538.774083452336
545.3047971,34904.645893519846
545.664861,40357.896497858834
546.0248846,41960.72582521606
546.3848679,37092.44585813167
546.7448107,28285.7608461081
547.1047133,19031.531371434903
547.4645754,13353.0953421591
547.8243971,10098.788390214137
548.1841784,8467.456391859701
548.5439193,7828.245841660651
548.9036197,7673.97516953941
549.2632796,7667.790219489489
549.6228991,7684.479317923737
549.9824781,7686.647927644091
550.3420166,7697.469663280948
550.7015145,7711.996600574159
551.0609719,7764.982721469176
551.4203888,7784.758018557806
551.7797651,7832.469164256516
552.1391008,7893.2676871254025
552.4983959,7970.085289267154
552.8576504,8030.814935961844
553.2168643,8109.912281561137
553.5760375,8165.538747001419
553.9351701,8202.03907527372
554.294262,8226.984111498925
554.6533132,8260.832339787677
555.0123237,8289.60558106881
555.3712934,8364.461632472981
555.7302225,8423.643056974517
556.0891108,8474.514058172042
556.4479583,8551.88748050971
556.806765,8640.460922798084
557.165531,8674.819354322395
557.5242561,8739.23296459462
557.8829405,8817.453829567039
558.241584,8842.892433085492
558.6001866,8881.939875493865
558.9587483,8940.88404203963
559.3172692,8990.168210953778
559.6757492,9086.460208838294
560.0341882,9176.056684018151
560.3925864,9259.178260611345
560.7509436,9330.518869041927
561.1092598,9401.521676970453
561.467535,9411.591101780179
561.8257693,9486.889545832004
562.1839625,9574.162668003417
562.5421148,9642.56767695793
562.900226,9709.438719937962
563.2582961,9808.71492971508
563.6163252,9857.550708241326
563.9743132,9894.02904972761
564.3322601,9954.989745907598
564.6901659,10010.004665913037
565.0480306,10034.918488652205
565.4058541,10082.591147245537
565.7636365,10121.600591482515
566.1213777,10159.536645332422
566.4790777,10200.65656850906
566.8367366,10271.776290880623
567.1943542,10306.49738833381
567.5519306,10332.25696488726
567.9094657,10372.261468404056
568.2669595,10452.962489521778
568.6244121,10507.441980015985
568.9818234,10584.011706684541
569.3391934,10629.60689872316
569.6965221,10684.515256279421
570.0538095,10692.666588467067
570.4110554,10726.661736107671
570.7682601,10730.292339716008
571.1254233,10789.69256038878
571.4825452,10848.886242362165
571.8396256,10890.8841210381
572.1966646,10932.840164045025
572.5536622,11008.291440634144
572.9106183,11057.763738167916
573.2675329,11040.714227689967
573.6244061,11079.63298507646
573.9812377,11084.001390568683
574.3380279,11078.425925423457
574.6947765,11090.644090520876
575.0514835,11243.88581081637
575.408149,12134.939098761737
575.7647729,13630.853461446392
576.1213553,15308.560287398159
576.477896,16438.553945963078
576.8343951,17016.810401978506
577.1908525,16675.420499208307
577.5472684,16282.341409295543
577.9036425,16170.894934198957
578.259975,16670.88312333684
578.6162657,17069.454442468617
578.9725148,17194.24425682317
579.3287221,16497.206750517238
579.6848877,15154.897169315751
580.0410115,13641.314846071808
580.3970936,12629.6408315531
580.7531338,12025.35006094734
581.1091323,11682.6669338908
581.4650889,11501.652813824328
581.8210038,11399.107589280622
582.1768767,11382.112660419127
582.5327078,11386.32391201361
582.8884971,11392.034109115897
583.2442444,11413.977968451238
583.5999498,11417.898886292436
583.9556133,11404.207990821094
584.3112349,11364.18252727898
584.6668145,11326.245265438749
585.0223522,11274.028299153895
585.3778478,11262.425275051097
585.7333015,11256.407504263989
586.0887131,11258.804390439676
586.4440828,11278.987991428785
586.7994103,11380.233105299467
587.1546959,11372.096809392442
587.5099393,11331.428726281452
587.8651407,11250.925617922932
588.2202999,11159.878623755794
588.5754171,10979.416857329395
