Wavelength,uJ/count
375.2680036,3.894206468249621e-08
375.6450567,3.104736359367489e-08
376.0220765,4.3786457608005936e-08
376.3990628,3.676707946403674e-08
376.7760157,-9.789568579217675e-07
377.1529352,1.4225494118519427e-06
377.5298212,-4.077481704088787e-08
377.9066737,-2.3465471685117302e-08
378.2834928,-2.545416748171002e-08
378.6602784,-3.261690018055788e-08
379.0370304,-2.5184774586237284e-08
379.413749,-2.9844398021974384e-08
379.7904339,6.039119897841235e-07
380.1670854,3.837233867143784e-07
380.5437032,3.884269153803152e-08
380.9202875,3.8951738736475e-08
381.2968381,6.89305719445835e-08
381.6733552,-7.356467161984453e-08
382.0498386,-2.7072991206206638e-08
382.4262883,-1.702999227165422e-08
382.8027044,-1.9092756884834978e-08
383.1790869,-8.771645956150607e-08
383.5554356,8.885383941269295e-08
383.9317506,5.305805177827957e-08
384.3080319,5.7173397990681367e-08
384.6842794,7.001507626573522e-08
385.0604932,5.783758475680898e-08
385.4366732,1.3579771889591317e-07
385.8128195,7.139699191382486e-08
386.1889319,3.619486086658668e-08
386.5650106,7.066521095052678e-08
386.9410554,-3.5198807021398684e-08
387.3170663,-3.1495778947101785e-08
387.6930434,-3.576774022374732e-08
388.0689866,-3.857413008933872e-08
388.444896,2.047920044431063e-06
388.8207714,6.172068623244564e-08
389.1966129,-2.3471700351085346e-06
389.5724205,-9.95694551268108e-08
389.9481941,-3.8109868676361585e-08
390.3239338,-3.0662115676484856e-08
390.6996394,-2.782114928017308e-08
391.0753111,-5.279715313320877e-08
391.4509488,-7.051931512978549e-08
391.8265525,-1.2750063516765008e-07
392.2021221,1.39717451394175e-07
392.5776576,5.599657120573544e-08
392.9531591,4.167536007683082e-08
393.3286265,4.699503872225573e-08
393.7040598,5.200258868747621e-08
394.079459,1.737310677858884e-07
394.4548241,-2.2296076030020958e-07
394.830155,-1.3099715643438595e-06
395.2054517,8.700652385249517e-08
395.5807143,3.942542030775882e-08
395.9559427,7.621617808272094e-08
396.3311369,9.453803492437107e-08
396.7062968,3.180362604157598e-07
397.0814225,6.041453081226494e-07
397.456514,-6.813222926520079e-08
397.8315712,-2.2602591736118052e-07
398.2065942,2.762957330833395e-06
398.5815828,7.277134514848008e-08
398.9565371,1.0368781663405859e-07
399.3314571,6.047993557276642e-08
399.7063428,9.870260600915667e-08
400.0811941,2.1319384377275468e-07
400.456011,-1.7890643003691219e-07
400.8307935,-1.3984269697120506e-07
401.2055417,-5.363279776253378e-08
401.5802554,-4.228363921062584e-08
401.9549347,-4.760492157920961e-08
402.3295795,-4.888520488289314e-08
402.7041899,-3.6729234308785245e-08
403.0787658,-4.637920555658247e-08
403.4533073,5.58955591682195e-05
403.8278142,2.8633809588954334e-07
404.2022866,-4.474009943015386e-08
404.5767244,-5.861803212770027e-08
404.9511277,-3.246909938517567e-07
405.3254965,-6.534394413090537e-08
405.6998306,-7.028083836902332e-08
406.0741302,3.628303514071156e-07
406.4483951,9.03027470382273e-08
406.8226255,1.6728347780295882e-07
407.1968212,1.0193800692174034e-07
407.5709822,6.593501185942223e-08
407.9451085,3.974484458264094e-08
408.3192002,8.070682626043684e-08
408.6932572,2.581592841888441e-07
409.0672794,-4.1109490667855997e-07
409.4412669,-8.764627304922087e-08
409.8152197,-9.716593027265859e-08
410.1891377,-4.210481523263188e-06
410.5630209,1.264424259854869e-07
410.9368694,-1.669134518830887e-06
411.310683,1.1449898404375258e-07
411.6844618,1.807808062529278e-07
412.0582058,-4.6926941793895796e-07
412.4319149,-1.3060407326014483e-07
412.8055892,-4.0939780586350634e-07
413.1792285,-1.2898763098736118e-07
413.552833,-6.500381663780703e-08
413.9264026,-5.857297343252791e-08
414.2999372,-4.841703533953279e-08
414.6734369,-7.327236408113238e-08
415.0469016,-1.0014453767724621e-07
415.4203314,4.525160025384052e-07
415.7937262,2.9431708147397513e-07
416.1670859,5.1262831544015906e-08
416.5404107,7.751429822928668e-08
416.9137004,5.6485751909334044e-08
417.2869551,9.838842306555133e-08
417.6601747,5.9167984718984514e-08
418.0333592,2.455494081970241e-07
418.4065087,8.19579533448993e-08
418.779623,-1.458492780949566e-07
419.1527022,-9.378076794214235e-08
419.5257463,-5.44854521475779e-08
419.8987552,-6.284651656838449e-08
420.2717289,-3.9923053716034345e-08
420.6446675,-1.0893917812312609e-07
